model,split,cadence_min,t2m_mae,u10_mae,v10_mae,precip_mae,mean_mae,source_manifest_id,notes
FusionCast,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Conv,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
ResNet,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
UNet,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
RCAN,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
SAN,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
